genotype,population,year,StandCountMetric,TotalCount,PeakCount,PeakDAP,StartCount,EndCount,StartDAP,EndDAP,Duration,LastEffectiveFlowerCount,LastEffectiveFlowerPercent,ElongationPct,FiberStrength,FiberUniformityIndexPct,LintPct,LintYield,MicronaireUnits,SeedYield,ShortFiberContentPct,UpperHalfMeanLen
F4 2022 196,Testing,2024,4.798992412,300.6666666666667,112.66666666666667,92.33333333333333,15.033333333333333,285.6333333333333,74.33333333333333,110.33333333333333,36,264.6666666666667,0.8827012837651136,6.866666666666666,31.633333333333333,85.36666666666666,44.9,1177.5700000000002,4.633333333333333,7166,5.666666666666667,1.2006666666666668
F4 2022 207,Testing,2024,6.590356999,367.6666666666667,92,92.33333333333333,18.383333333333333,349.2833333333333,72,108,36,335.3333333333333,0.9076490875252485,6.733333333333333,31.46666666666667,84.23333333333333,44.95666666666667,1160.9666666666667,4.95,7045.666666666667,5.5,1.1873333333333334
F4 2022 208,Testing,2024,5.944441845,349.6666666666667,68.66666666666667,89.33333333333333,17.483333333333334,332.18333333333334,71,109.33333333333333,38.333333333333336,314.6666666666667,0.8993355544181847,6.666666666666667,31.3,86.1,43.72,1136.3366666666666,4.903333333333333,7091,5.366666666666666,1.2296666666666667
F4 2022 209,Testing,2024,6.762117885333334,462.3333333333333,142.33333333333334,85,23.116666666666667,439.2166666666667,69.33333333333333,104.33333333333333,35,439,0.9425311620206042,7.2,31.566666666666666,86.13333333333334,44.836666666666666,1052.4766666666667,4.86,6365,5.266666666666667,1.1786666666666668
F4 2022 214,Testing,2024,6.300990983666667,447.6666666666667,130.66666666666666,89.33333333333333,22.383333333333333,425.2833333333333,73,103,30,425.3333333333333,0.9482682354316597,7.6,30.233333333333334,85.23333333333333,42.95,1238.9933333333333,5.053333333333334,7861.666666666667,5.5,1.2196666666666667
F4 2022 216,Testing,2024,6.146751986333333,316.3333333333333,79.66666666666667,92.33333333333333,15.816666666666666,300.51666666666665,68.33333333333333,108,39.666666666666664,287.6666666666667,0.9113337093303254,7.1,32.6,86.46666666666667,43.97,1137.4,4.723333333333334,7045.333333333333,4.5,1.2776666666666667
F4 2022 217,Testing,2024,6.831062527333334,366.6666666666667,72.33333333333333,94.33333333333333,18.333333333333332,348.3333333333333,72,106.66666666666667,34.666666666666664,340.3333333333333,0.9208156380831902,7.3,29.96666666666667,85.33333333333333,44.660000000000004,1171.59,4.776666666666666,7151.333333333333,5.433333333333334,1.2223333333333333
F4 2022 219,Testing,2024,5.2563998949999995,429,96,98,21.45,407.54999999999995,72,109,37,393,0.9089902930005721,6.866666666666666,30.6,85.53333333333333,42.833333333333336,1104.7833333333333,4.7,7045.333333333333,5.033333333333333,1.2409999999999999
F4 2022 221,Testing,2024,7.508849637,485.3333333333333,151.33333333333334,86.33333333333333,24.266666666666666,461.06666666666666,73,103,30,460,0.9469988815707717,6.966666666666667,31.733333333333334,85.7,44.20333333333333,1295.6499999999999,4.8999999999999995,7998,5.1,1.2123333333333333
F4 2022 224,Testing,2024,4.3326150000000005,434.6666666666667,115.33333333333333,95,21.733333333333334,412.93333333333334,72,109,37,394.6666666666667,0.9006681840844212,7.8,32.03333333333333,86.3,38.42333333333333,782.83,5.11,5548.333333333333,4.933333333333334,1.2136666666666667
